build_height_mm,residence_time_s
0,0
2,0
4,3
6,11
8,17
10,23
12,20
14,43
16,53
18,56
20,67
22,90
24,107
26,83
28,126
30,160
32,138
34,159
36,177
38,193
40,182
42,201
44,175
46,199
48,249
50,225
52,220
54,225
56,186
58,176
60,142
62,101
64,165
66,183
68,184
70,216
72,232
74,220
76,245
78,254
80,240
82,251
84,241
86,289
88,265
90,285.999999999993
92,249.999999999993
94,275.999999999993
96,293.999999999993
98,255.999999999993
100,269.999999999993
102,311.999999999993
104,298
106,257
108,259
110,261
112,268
114,247
116,242
118,181
120,160
122,107
124,48
126,42
128,13
130,6
